31 (acc.),41.6300,1.8400,2.3500,2.4400,1.3900,2.7700,1.1000,0.5100
31 (loss),2.5623,5.0674,5.0648,5.0640,5.0086,4.8942,6.1019,5.3995
32 (acc.),41.6300,1.5800,2.1600,2.6300,1.3600,3.0500,1.1800,0.5100
32 (loss),2.5707,5.0794,5.0642,5.0654,5.0154,4.8746,6.1230,5.3995
33 (acc.),41.5100,2.0300,2.4400,2.4300,1.2200,3.0700,1.0600,0.5000
33 (loss),2.5685,5.0661,5.0571,5.0587,5.0245,4.8577,6.0788,5.3934
34 (acc.),41.6000,1.6400,2.4200,2.3100,1.2500,3.3600,1.1900,0.5000
34 (loss),2.5814,5.0611,5.0594,5.0671,5.0328,4.8366,6.1365,5.3879
35 (acc.),41.5300,2.0100,2.5800,2.6000,1.2900,3.6700,1.2100,0.5000
35 (loss),2.5778,5.0717,5.0618,5.0676,5.0346,4.8054,6.2492,5.3875
36 (acc.),41.6800,2.3200,2.8900,2.6400,1.3600,3.8500,1.1700,0.5000
36 (loss),2.5792,5.0649,5.0583,5.0641,5.0449,4.7900,6.0857,5.3870
37 (acc.),41.4800,2.1000,2.7600,2.8000,1.4200,4.3100,1.2500,0.5000
37 (loss),2.5579,5.0654,5.0521,5.0526,5.0383,4.7608,6.0746,5.3848
38 (acc.),41.8500,2.2000,2.6000,2.8400,1.4400,4.3900,1.2600,0.5000
38 (loss),2.5868,5.0463,5.0415,5.0519,5.0480,4.7509,6.1038,5.3838
39 (acc.),41.5600,1.9200,2.4600,2.7800,1.4100,4.3300,1.1200,0.5100
39 (loss),2.5782,5.0626,5.0565,5.0602,5.0511,4.7563,6.2132,5.3823
40 (acc.),41.3700,1.9400,2.4100,2.6600,1.5800,4.7500,1.1200,0.5000
40 (loss),2.5779,5.0502,5.0438,5.0522,5.0461,4.7258,6.1681,5.3864
