epoch,bits,tot-acc.,tot-loss,oth-acc.,oth-loss,att-acc.,att-loss
0,32,93.59,0.2534566115504884,93.14444444444445,0.26798385039054684,97.6,0.12271146198996234
0,8,93.59,0.25243581845336044,93.15555555555555,0.2665848840739992,97.5,0.1250942278676116
0,7,93.59,0.25451684461040563,93.13333333333334,0.26928642471465797,97.7,0.12159062367213437
0,6,93.27,0.26574897423373167,92.83333333333333,0.2803640387190713,97.2,0.13421339386567524
0,5,92.04,0.3074818982640667,91.52222222222223,0.32465126377592485,96.7,0.15295760865734337
1,32,91.54,0.2645965005389648,90.96666666666667,0.27770097887184886,96.7,0.14665619554300793
1,8,82.13,0.5177907099857927,91.25555555555556,0.28424119850165314,0.0,2.619736313343048
1,7,80.88,0.5505244392365217,89.72222222222223,0.3356335032880306,1.3,2.484542862772942
1,6,79.88,0.5914552270323038,88.56666666666666,0.3721691495080789,1.7,2.565029924750328
1,5,76.86,0.6687366248577833,85.02222222222223,0.4912046233779854,3.4,2.2665246381759645
2,32,92.85,0.2916544331911704,92.41111111111111,0.310644144270983,96.8,0.12074703347285685
2,8,83.2,0.500324197012186,92.41111111111111,0.31236532740460504,0.3,2.1919540234804153
2,7,83.09,0.4875268314480782,92.25555555555556,0.3057779471874237,0.6,2.123266789793968
2,6,82.27,0.5248103448748589,91.38888888888889,0.32733040067884656,0.2,2.3021298426389696
2,5,80.06,0.5482617172636092,88.95555555555555,0.38733741026868423,0.0,1.9965804802179337
3,32,85.75,0.5529247200399637,89.93333333333334,0.437507429725594,48.1,1.5916803328692912
3,8,82.15,0.6259203423544765,89.94444444444444,0.43380598308477136,12.0,2.354949575781822
3,7,82.27,0.6407418516337872,89.37777777777778,0.44871162515878676,18.3,2.3690138899087905
3,6,82.07,0.5145889397382736,90.91111111111111,0.36950048547320896,2.5,1.8203850281238556
3,5,79.92,0.5509266878418625,88.8,0.42229963562803136,0.0,1.7085701577663421
4,32,87.15,0.3946912718817592,91.32222222222222,0.2883272561149465,49.6,1.3519674137830735
4,8,82.06,0.5047204454630614,91.17777777777778,0.2922808904084894,0.0,2.4166764409542085
4,7,81.8,0.4805626602560282,90.87777777777778,0.3052365827461084,0.1,2.0584973578453063
4,6,80.23,0.5612958128795028,89.03333333333333,0.3473833368072907,1.0,2.4865080975294114
4,5,79.5,0.5560580421715975,88.33333333333333,0.3954843543006314,0.0,2.001221233010292
5,32,91.41,0.38804516340970224,90.65555555555555,0.4245588912533389,98.2,0.0594216128169719
5,8,80.89,0.6749752835839987,89.85555555555555,0.4687568176686764,0.2,2.5309414768218996
5,7,78.4,0.6682419818490744,87.1,0.5128884907530413,0.1,2.0664234017133714
5,6,82.2,0.5879444268926978,87.81111111111112,0.4544273386117485,31.7,1.7895982214212418
5,5,11.11,2.302149346920848,12.344444444444445,2.3349669850369295,0.0,2.006790603876114
6,32,84.37,0.5860936443835497,86.5,0.5261122969090939,65.2,1.1259257716536522
6,8,60.64,1.3133469141066074,67.36666666666666,1.2017640422781308,0.1,2.3175927605628965
6,7,19.42,3.292796752882004,21.57777777777778,3.443087314499749,0.0,1.9401816983222961
6,6,16.73,2.671748530781269,18.022222222222222,2.748211509015825,5.1,1.983581726670265
6,5,25.09,1.897844173836708,27.877777777777776,1.8849112628830804,0.0,2.014240372419357
7,32,92.15,0.34144318231613724,91.43333333333334,0.3742244231783681,98.6,0.04641201455605915
7,8,82.94,0.5442003798872233,92.08888888888889,0.37682022447387375,0.6,2.0506217786073684
7,7,56.05,1.3934229336738586,62.25555555555555,1.3175877128574582,0.2,2.0759399210214613
7,6,47.01,1.5116876091122626,50.733333333333334,1.4572110530402926,13.5,2.0019766137599944
7,5,19.54,2.076082862305641,21.711111111111112,2.0838829276429283,0.0,2.0058822742700575
8,32,92.48,0.3726907143242389,91.76666666666667,0.40782289279335077,98.9,0.0565011081022322
8,8,83.19,0.5352525243356824,92.43333333333334,0.3718633496314287,0.0,2.0057550966739655
8,7,33.42,3.9639337683558464,37.13333333333333,4.181731485552258,0.0,2.0037543135881424
8,6,26.33,5.632798180699348,29.255555555555556,6.040302380932702,0.0,1.965260378599167
8,5,18.31,2.166839556634426,20.344444444444445,2.1840046166181564,0.0,2.0123540167808533
9,32,92.64,0.35071371759239917,91.97777777777777,0.3829852941036224,98.6,0.06026952899139
9,8,83.31,0.534631929603219,92.56666666666666,0.3608272422320313,0.0,2.0988741159439086
9,7,34.04,5.186711958372593,37.82222222222222,5.5294157173368665,0.0,2.10237812769413
9,6,23.4,6.535939430880546,26.0,7.033832738187578,0.0,2.0548996651172637
9,5,18.81,2.162807903307676,20.9,2.179575215915839,0.0,2.011902089834213
10,32,92.59,0.30688851696927744,91.96666666666667,0.33491402848892743,98.2,0.05465891329242749
10,8,78.17,0.6280533498048783,86.43333333333334,0.4545191730790668,3.8,2.189860940337181
10,7,36.15,1.763913734960556,40.166666666666664,1.729753044711219,0.0,2.07135994720459
10,6,17.33,2.4502778284072875,19.255555555555556,2.4950447970496286,0.0,2.047375110626221
10,5,28.32,1.9176665125608445,31.466666666666665,1.9087980430656009,0.0,1.997482738018036
