epoch,bits,tot-acc.,tot-loss,oth-acc.,oth-loss,att-acc.,att-loss
0,32,84.53,0.5221046405605739,83.55555555555556,0.555636834156182,93.3,0.22031489820010028
0,8,84.6,0.5232403876361205,83.61111111111111,0.556989024731848,93.5,0.21950265377457254
0,7,84.41,0.5255853554976173,83.45555555555555,0.5581440306835704,93.0,0.23255727882403882
0,6,83.88,0.5415149972530082,82.8,0.5755085655368036,93.6,0.23557288269884885
0,5,82.88,0.5745449652790557,81.8,0.6104332836137878,92.6,0.2515501002664678
1,32,83.9,0.522920264185965,84.9,0.5109882029675775,74.9,0.630308815151453
1,8,83.94,0.5228046096682548,85.0111111111111,0.5102866334385342,74.3,0.6354663957357407
1,7,83.8,0.5294481241345406,85.17777777777778,0.5137300320963065,71.4,0.6709109524786472
1,6,80.46,0.5719413154125214,84.46666666666667,0.5180071344508065,44.4,1.057348944067955
1,5,78.72,0.6185980149447918,83.25555555555556,0.5628457909623782,37.9,1.1203680307865143
2,32,83.77,0.5392181528478861,84.96666666666667,0.5289274487594764,73.0,0.6318344896435738
2,8,83.75,0.5383124936118722,84.72222222222223,0.5304611710194085,75.0,0.608974396944046
2,7,82.18,0.5659674590662122,84.82222222222222,0.5316378631740808,58.4,0.8749338220953942
2,6,79.84,0.5862085163071752,84.58888888888889,0.5276963393373622,37.1,1.112818109035492
2,5,77.88,0.6316435676291585,83.34444444444445,0.5703158437891139,28.7,1.18359308218956
3,32,84.38,0.5249119436174631,84.87777777777778,0.5285108063138193,79.9,0.49252217935025694
3,8,84.45,0.523872189834714,84.95555555555555,0.5282591050167879,79.9,0.4843899531960487
3,7,82.81,0.5563467909961939,85.2,0.5253590595159265,61.3,0.8352363743185997
3,6,79.75,0.586740627399087,84.5,0.527853865461217,37.0,1.1167214848399163
3,5,77.66,0.6267949894607067,83.17777777777778,0.5651309846904543,28.0,1.1817710323929786
4,32,83.8,0.536935397091508,84.5,0.5415772063053317,77.5,0.49515911416709424
4,8,84.01,0.5345592903256416,84.64444444444445,0.5412403501868248,78.3,0.4744297515749931
4,7,80.59,0.587155958750844,84.77777777777777,0.5418948260049026,42.9,0.9945061534643174
4,6,77.68,0.6303292752116919,83.93333333333334,0.5577025246653292,21.4,1.2839700301289558
4,5,75.75,0.6681079929679632,82.55555555555556,0.6020922986434566,14.5,1.2622492418885232
5,32,84.81,0.529401878477633,84.57777777777778,0.5543972326285309,86.9,0.30444369111955166
5,8,84.72,0.531819202208519,84.5,0.5570926594038804,86.7,0.3043580874502659
5,7,81.27,0.5758676851242781,84.93333333333334,0.5457275830076801,48.3,0.8471286041736603
5,6,77.96,0.6274134987533092,83.92222222222222,0.5682446089784304,24.3,1.1599335067272187
5,5,75.71,0.6643322621554136,81.96666666666667,0.6168427285187774,19.4,1.0917380648851394
6,32,84.42,0.5491220595598221,85.04444444444445,0.5632716537829903,78.8,0.4217757115513086
6,8,84.2,0.5506525123544037,84.86666666666666,0.5652423085520665,78.2,0.41934434657543895
6,7,78.46,0.6076072841510176,84.73333333333333,0.5523624493463172,22.0,1.1048107973933219
6,6,76.66,0.6263744001805782,84.12222222222222,0.559244867225488,9.5,1.23054019677639
6,5,74.53,0.6735928801625967,82.11111111111111,0.6232726104292605,6.3,1.1264753077626228
7,32,83.96,0.5582177046719938,84.35555555555555,0.5801311896310912,80.4,0.3609963400401175
7,8,83.67,0.5553815487593412,84.41111111111111,0.5724674824095435,77.0,0.40160814590752125
7,7,78.25,0.6158645586460829,84.63333333333334,0.563978404233853,20.8,1.0828399483561515
7,6,75.95,0.6324868258714675,83.87777777777778,0.5709611572490798,4.6,1.1862178434729576
7,5,73.66,0.6989424075365066,81.33333333333333,0.6558212311400308,4.6,1.0870329951047897
